Episode,Score,Move count,Highest tile,Final grid
32426,27172,1408,2048,"[[2048  256   32   16]
 [ 512   64   16    8]
 [  16  128    8    4]
 [   4    2    4    2]]"
38075,26240,1357,2048,"[[2048    2  128    4]
 [  32  512   64   32]
 [   4  128   16    4]
 [   2   16    4    2]]"
39003,25488,1297,2048,"[[   2   16  128   32]
 [ 512   64   16    8]
 [2048   32    4    2]
 [   2    4    2    4]]"
19671,25428,1298,2048,"[[ 512   64    4    2]
 [   2 2048  128    4]
 [   8    4   32   16]
 [   4   16    8    4]]"
30057,25280,1292,2048,"[[  16   32    2    4]
 [   8 2048  512    2]
 [   2   16  128    8]
 [   8    2   32    4]]"
33447,23616,1211,2048,"[[2048  256  128   16]
 [   8  128   32    8]
 [   4   16    8    2]
 [   2    8    2    4]]"
31926,23076,1173,2048,"[[   4 2048  128    8]
 [  16  256   64    2]
 [   8    4    8   16]
 [   2    8    4    2]]"
33277,22260,1128,2048,"[[2048    2  128   16]
 [   8   64   32    8]
 [  32  128    8    4]
 [   2   16    4    2]]"
36862,22104,1106,2048,"[[   2 2048  128    8]
 [  32  128   64    2]
 [   2    4   16    8]
 [  16    8    4    2]]"
35297,21940,1068,2048,"[[   8 2048    4    2]
 [ 256    4    2    4]
 [  16    2   16    8]
 [   2    4    8    2]]"
14813,21740,1094,2048,"[[   8 2048   64   16]
 [ 128   64   16    8]
 [   4   32    8    4]
 [   2    8    4    2]]"
33160,21612,1085,2048,"[[2048  128   32   16]
 [   8   64   16    8]
 [   4   16   32    4]
 [   2    8   16    2]]"
22138,19900,1153,1024,"[[   4 1024  512    4]
 [   2    4  256  128]
 [   4  512    8   16]
 [  64    2    4    2]]"
21849,18408,984,1024,"[[   2 1024    4   32]
 [1024    4   16    8]
 [   2   16    8    4]
 [   4   32    4    2]]"
41498,18156,1079,1024,"[[1024  512  256  128]
 [   2  256  128   16]
 [   4   16    8    4]
 [   2    8    4    2]]"
40414,18136,1059,1024,"[[  16    2  512   32]
 [ 512 1024  128    8]
 [   4   16    8    2]
 [   2    4    2    4]]"
35301,17844,1057,1024,"[[   2  256    2    4]
 [1024  512   64   32]
 [ 256  128   32    8]
 [   4    8    2    4]]"
30120,17808,1059,1024,"[[   2  512   64    4]
 [   8 1024   32  256]
 [ 256  128    8    2]
 [   2    8    2   16]]"
22325,17756,1059,1024,"[[1024  512    2   16]
 [ 256  128    4    8]
 [   8   64  256    4]
 [   4    2   16    2]]"
25327,17616,999,1024,"[[1024  512   16    4]
 [ 512    4   64    2]
 [   2   32    2    4]
 [   4    2   32    2]]"
13529,17512,1030,1024,"[[   2 1024  512    4]
 [ 256  128  256   16]
 [  16    4   32    8]
 [   4    2    8    4]]"
36084,17452,1027,1024,"[[1024  512  256   16]
 [   2  256  128    8]
 [  16    2   16    4]
 [   2    8    4    2]]"
37154,17400,1034,1024,"[[   4 1024  512    4]
 [ 256   64  256   64]
 [  32   16    8    2]
 [   2    4   16    4]]"
33252,17396,1037,1024,"[[   2  512  256   16]
 [ 256 1024   64    8]
 [   2   64   32    4]
 [   4    2    8    2]]"
26813,17384,1034,1024,"[[ 256   64 1024    2]
 [   2   16  256  512]
 [   4   64   32    8]
 [   2    8    4    2]]"
39958,17380,1022,1024,"[[ 256  512 1024    2]
 [  64  256   64   32]
 [  32    4    2    8]
 [   4    2    4    2]]"
16610,17240,1019,1024,"[[1024  512  256   32]
 [ 256   64   32    8]
 [  32    2    4    2]
 [   2    4    2    4]]"
39797,17176,1014,1024,"[[   4 1024  512  256]
 [  32  256   32    4]
 [   8   16    8    2]
 [   2    4    2   64]]"
37528,17132,1004,1024,"[[   2  512    2   32]
 [ 256 1024   64    8]
 [   4   16  256    4]
 [   2    4   32    2]]"
40714,17052,994,1024,"[[1024  512  256    2]
 [ 256   32    8   64]
 [  16    8    4    2]
 [   4   16    8    4]]"
31555,17040,1003,1024,"[[   8  256   64   16]
 [   2  512  256    8]
 [  16 1024   16    4]
 [   4    8    4    2]]"
40924,16848,1007,1024,"[[1024  512  256    4]
 [ 128   64  128   16]
 [   4   16   32    8]
 [   2    8    2    4]]"
32129,16760,976,1024,"[[1024  512  256    2]
 [  32  256    2    8]
 [   2    4    8    4]
 [  16    2    4    2]]"
38152,16720,988,1024,"[[   8    4  128    2]
 [   2 1024  512    4]
 [   4  256  128   16]
 [  16    4   16   64]]"
27425,16704,961,1024,"[[1024  512  256    8]
 [ 256   32    4    2]
 [   4   16    8    4]
 [   2    8    4    2]]"
37766,16604,983,1024,"[[   2  128    4    2]
 [ 512  256  128   32]
 [1024    8   32    4]
 [   2    4    8   16]]"
39865,16584,978,1024,"[[   2  256    2   32]
 [   4  128   16  128]
 [1024  512   32    8]
 [   4    8    4    2]]"
26412,16568,981,1024,"[[ 512    4  256   16]
 [1024  128   16    8]
 [ 128   32    8    4]
 [   2   16    4    2]]"
35280,16564,984,1024,"[[   8    2    8    2]
 [1024   32  128    4]
 [ 256  512   16    8]
 [   4   16  128    2]]"
16532,16456,977,1024,"[[   2    4  256   64]
 [1024  512   64   16]
 [  32  128   32    8]
 [   2    8    4    2]]"
35981,16424,970,1024,"[[   2    4  512  128]
 [1024  256   64   32]
 [  64    4   32   16]
 [   4    2    4    8]]"
34223,16400,976,1024,"[[   4    2    8   16]
 [   2  512  256   32]
 [1024   64  128   16]
 [   4    2   64    4]]"
13230,16372,973,1024,"[[   4    2   32    8]
 [ 512    4  256   64]
 [1024   64  128    2]
 [   2    4   16    8]]"
22360,16364,968,1024,"[[   2    4  256   64]
 [1024  512   32   16]
 [  64  128    2    4]
 [   4   16    4    2]]"
39488,16340,962,1024,"[[ 256 1024  512    2]
 [ 128   64   32   64]
 [   4   16    4   16]
 [   2    4    2    4]]"
19792,16320,961,1024,"[[   4  512  256    2]
 [1024   64  128   64]
 [   2    4   32    2]
 [   4    2    8   16]]"
40733,16300,963,1024,"[[1024    2   64   16]
 [ 256    4   16    8]
 [   2  512  128    4]
 [  64   16    4    2]]"
25359,16300,970,1024,"[[  32   64  512    4]
 [   8  128 1024   32]
 [   4   32  256    4]
 [   2    4    8   16]]"
25883,16296,955,1024,"[[   2   64    4    2]
 [   4  512   16   64]
 [1024  128  256   32]
 [   2    4    8    2]]"
33135,16280,962,1024,"[[   2  256   64    2]
 [ 512   64   16    8]
 [1024  128    8    4]
 [   2    4   16    2]]"
31712,16276,969,1024,"[[1024    2   64   32]
 [ 256  512   32    4]
 [   8  128    8    2]
 [   2    4    2   32]]"
38328,16252,960,1024,"[[1024  512  256    4]
 [  64  128   64    8]
 [  16    4    2    4]
 [   2    8    4    2]]"
39400,16232,966,1024,"[[ 512   64    4    2]
 [1024  128   32    8]
 [ 256    4   16   32]
 [   4   16    4    2]]"
30072,16228,973,1024,"[[ 512    8    4    2]
 [   2  128  256   64]
 [1024    8   32    4]
 [  32    2    4    8]]"
21184,16228,960,1024,"[[1024  512    2   32]
 [  32  128  256   16]
 [   8   16   64    2]
 [   2    4   16    4]]"
31433,16224,964,1024,"[[   2    4   16    2]
 [1024  512  128    4]
 [ 256   64   32   16]
 [   2   32    8    4]]"
37795,16208,949,1024,"[[   2 1024  512    2]
 [   8   64  128  256]
 [   4   16   64    4]
 [   2    4    8    2]]"
21594,16204,974,1024,"[[   2  512  256    2]
 [   4 1024   64    8]
 [  16   32  128   16]
 [   8    4    8    4]]"
22388,16204,964,1024,"[[1024  512  256   32]
 [ 128   64   32    4]
 [   4   16    8    2]
 [   2    4    2    4]]"
38390,16200,946,1024,"[[   2  128    4   16]
 [ 512 1024   64    8]
 [ 256   64    8    4]
 [   4    8    4    2]]"
25186,16200,957,1024,"[[   2    4   16   64]
 [ 256 1024  512   32]
 [   2   16  128    8]
 [   8    4   32    2]]"
29263,16184,953,1024,"[[1024  512  256   32]
 [ 128   64   32    8]
 [   4   16    2   16]
 [   2    8    4    2]]"
